"['Date:', '20250415131347']","['SERIAL:', '5000694']","['1000', '1942', '1639', '1626', '21597', '22987', '27103']"
"['Date:', '20250415170511']","['SERIAL:', '5000695']","['1000', '1801', '1718', '1639', '21566', '23004', '27100']"
"['Date:', '20250415182016']","['SERIAL:', '5000696']","['1000', '1816', '1743', '1683', '21564', '23010', '27100']"
"['Date:', '20250416141737']","['SERIAL:', '5000699']","['1000', '1950', '1583', '1650', '21255', '22618', '26652']"
"['Date:', '20250416110604']","['SERIAL:', '5000701']","['1000', '1822', '1567', '1604', '21584', '22992', '27104']"
"['Date:', '20250416153959']","['SERIAL:', '5000703']","['1000', '1872', '1496', '1700', '21449', '22855', '26938']"
"['Date:', '20250416165640']","['SERIAL:', '5000704']","['1000', '1874', '1782', '1691', '21572', '23012', '27101']"
"['Date:', '20250417131329']","['SERIAL:', '5000697']","['1000', '1804', '1743', '1633', '21575', '23007', '27105']"
"['Date:', '20250417103707']","['SERIAL:', '5000700']","['1000', '1872', '1662', '1629', '21577', '22999', '27098']"
"['Date:', '20250417115231']","['SERIAL:', '5000702']","['1000', '1894', '1607', '1656', '21598', '22991', '27100']"
"['Date:', '20250418084020']","['SERIAL:', '5000698']","['1000', '1705', '1615', '1667', '21564', '23002', '27105']"
"['Date:', '20250418121506']","['SERIAL:', '5000705']","['1000', '1685', '1591', '1653', '21573', '22985', '27104']"
"['Date:', '20250418133009']","['SERIAL:', '5000706']","['1000', '1933', '1655', '1700', '21502', '22904', '26992']"
"['Date:', '20250421073601']","['SERIAL:', '5000699']","['1000', '1950', '1539', '1655', '21298', '22655', '26719']"
"['Date:', '20250421085751']","['SERIAL:', '5000707']","['1000', '1754', '1549', '1603', '21570', '22992', '27102']"
"['Date:', '20250421104428']","['SERIAL:', '5000708']","['1000', '1702', '1552', '1621', '21561', '22995', '27104']"
"['Date:', '20250421135852']","['SERIAL:', '5300015']","['1000', '1878', '1603', '1689', '21581', '22999', '27101']"
